a	một cái, một con 
molecular	phân tử
molecule	phân tử
molest	quấy rối
mollusk	nhuyễn thể
molten	nấu chảy
mom	mẹ
moment	chốc lát
momentarily	chốc lát
momentary	tạm thời
momentous	quan trọng
momentum	Quán tính
mommy	mẹ
monad	đơn nguyên
monarch	Quốc vương
monarchy	chế độ quân chủ
monastery	tu viện
monastic	tu viện
monetary	tiền tệ
money	tiền bạc
money-market	thị trường tiền tệ
Mongol	Người Mông Cổ
Mongolian	Tiếng Mông Cổ
moniker	biệt danh
monitor	màn hình
monitoring	giám sát
monk	tu sĩ
monkey	con khỉ
monochrome	đơn sắc
monoclonal	đơn dòng
monocular	một mắt
monogamous	một vợ một chồng
monogamy	một vợ một chồng
monograph	chuyên khảo
monolith	đá nguyên khối
monolithic	nguyên khối
monologue	độc thoại
monopolistic	độc quyền
monopolize	độc quyền
monopoly	sự độc quyền
monotheism	thuyết độc thần
monotheistic	độc thần
monotonous	đơn điệu
monoxide	monoxit
monsoon	gió mùa
monster	quái vật
monstrous	quái dị
montage	dựng phim
month	tháng
monthly	hàng tháng
monument	Đài kỷ niệm
monumental	vĩ đại
mood	tâm trạng
moody	buồn rầu
moon	mặt trăng
moonlight	ánh trăng
moor	đồng hoang
moose	con nai sừng tấm
moot	cuộc tranh luận
mop	nhăn nhó
moral	có đạo đức
morale	đạo đức
moralist	nhà đạo đức học
moralistic	đạo đức
morality	đạo đức
morally	về mặt đạo đức
morass	mớ hỗn độn
moratorium	lệnh tạm hoãn
Moravian	Moravian
morbid	bệnh tật
morbidity	bệnh tật
more	hơn
moreover	hơn thế nữa
mores	nhiều hơn nữa
Mormon	Mặc Môn
morning	buổi sáng
Moroccan	Maroc
morph	morph
morphine	morphin
morphological	hình thái
morphology	hình thái học
mortal	sinh tử
mortality	tử vong
mortar	cối
mortgage	thế chấp
mortise	lỗ mộng
mortuary	nhà xác
mosaic	khảm
Moslem	Hồi giáo
mosque	nhà thờ Hồi giáo
mosquito	con muỗi
moss	rêu
most	phần lớn
mostly	hầu hết
motel	nhà trọ
moth	bướm đêm
mother	mẹ
motherboard	bo mạch chủ
motherhood	tình mẫu tử
mother-in-law	mẹ chồng
motif	mô típ
motion	cử động
motionless	bất động
motivate	động viên
motivated	có động cơ
motivating	thúc đẩy
motivation	động lực
motivational	động lực
motivator	người thúc đẩy
motive	động cơ
motor	động cơ
motorcycle	xe máy
motorist	người lái xe
motorized	có động cơ
motto	châm ngôn
mound	gò đất
mount	gắn kết
mountain	núi
mountainous	miền núi
mountainside	sườn núi
mountaintop	đỉnh núi
mounted	gắn kết
mounting	gắn
mourn	thương tiếc
mourner	người đưa tang
mourning	tang chế
mouse	chuột
mouth	miệng
mouthpiece	khẩu hình
movable	di chuyển được
move	di chuyển
movement	sự chuyển động
mover	động cơ
movie	bộ phim
moving	động
mow	cắt cỏ
mower	máy cắt cỏ
Mozambican	Mozambican
MP	MP
MRI	MRI
much	nhiều
much-needed	rất cần thiết
mucosa	niêm mạc
mucosal	niêm mạc
mucus	chất nhầy
mud	bùn
muddy	bùn lầy
muffin	bánh nướng xốp
mug	chăm học
mulatto	mulatto
mulch	lớp phủ
mule	con la
multi	đa
multicolored	nhiều màu
multicultural	đa văn hóa
multiculturalism	đa văn hóa
multidimensional	đa chiều
multidisciplinary	đa ngành
multi-ethnic	đa chủng tộc
multifaceted	nhiều mặt
multilateral	đa phương
multilateralism	chủ nghĩa đa phương
multilayered	nhiều lớp
multilevel	đa cấp
multilingual	đa ngôn ngữ
multimedia	đa phương tiện
multimillion-dollar	hàng triệu đô la
multinational	đa quốc gia
multi-party	đa đảng
multiple	nhiều
multiple-choice	nhiều lựa chọn
multiplication	phép nhân
multiplicity	sự đa dạng
multiplier	số nhân
multiply	nhân
multipolar	đa cực
multipurpose	đa dụng
multiracial	đa chủng tộc
multitude	vô số
multivariate	đa biến
multivitamin	vitamin tổng hợp
mum	mẹ
mumble	lầm bầm
mummy	xác ướp
munch	khụ khụ
mundane	trần tục
municipal	thành phố trực thuộc trung ương
municipality	đô thị
munitions	đạn dược
muon	muon
mural	tranh tường
murder	giết người
murdered	bị giết
murderer	kẻ giết người
murderous	giết người
murky	âm u
murmur	thì thầm
muscle	bắp thịt
muscular	cơ bắp
musculature	cơ bắp
musculoskeletal	cơ xương khớp
muse	ngân nga
museum	bảo tàng
mushroom	nấm
music	Âm nhạc
musical	âm nhạc
musically	âm nhạc
musician	nhạc sĩ
musicianship	khả năng âm nhạc
musing	trầm ngâm
musket	súng hỏa mai
Muslim	Hồi
mussels	con trai
must	cần phải
mustache	ria
mustard	mù tạc
muster	Tập hợp
mutant	dị nhân
mutate	đột biến
mutation	đột biến
mute	người câm
muted	tắt tiếng
mutilation	sự cắt xén
mutiny	binh biến
mutter	lẩm bẩm
mutual	qua lại
mutuality	tương hỗ
mutually	hỗ trợ
my	của tôi
myocardial	cơ tim
myopic	cận thị
myriad	vô số
myself	riêng tôi
mysterious	bí ẩn
mysteriously	bí ẩn
mystery	huyền bí
mystic	thần bí
mystical	thần bí
mysticism	thần bí
mystify	làm hoang mang
mystique	huyền bí
myth	thần thoại
mythic	thần thoại
mythical	thần thoại
mythological	thần thoại
mythology	thần thoại
NAFTA	NAFTA
nag	cằn nhằn
nagging	cằn nhằn
nail	Đinh
naive	ngây thơ
naively	ngây thơ
naivete	ngây thơ
naked	khỏa thân
naked-eye	mắt thường
nakedness	trần truồng
name	Tên
named	được đặt tên
nameless	không tên
namely	cụ thể là
namesake	trùng tên
Namibian	Namibian
naming	đặt tên
nan	nan
nana	nana
nanny	bảo mẫu
nanometer	nanômét
nanotechnology	công nghệ nano
nanotube	ống nano
nap	ngủ trưa
napkin	khăn ăn
Napoleonic	Napoléon
narcissism	tự kiêu
narcissistic	tự ái
narcotic	mê man
narrate	thuật lại
narration	tường thuật
narrative	chuyện kể
narratological	tự thuật
narrator	người dẫn chuyện
narrow	hẹp
narrowing	thu hẹp
narrowly	trong gang tấc
nasal	mũi
nascent	non trẻ
nasty	khó chịu
natal	sinh đẻ
nation	dân tộc
national	thuộc quốc gia
nationalism	chủ nghĩa dân tộc
nationalist	người theo chủ nghĩa dân tộc
nationalistic	tinh thần dân tộc
nationality	Quốc tịch
nationalization	quốc hữu hóa
nationalize	quốc hữu hóa
nationally	trên toàn quốc
nation-building	xây dựng đất nước
nation-state	nhà nước quốc gia
nationwide	toàn quốc
native	tự nhiên
native-born	sinh ra ở bản xứ
nativism	thuyết nativism
nativist	người theo chủ nghĩa nativist
nativity	sự giáng sinh
natural	tự nhiên
naturalism	chủ nghĩa tự nhiên
naturalist	nhà tự nhiên học
naturalistic	tự nhiên
naturalization	nhập tịch
naturalize	nhập quốc tịch
naturalized	nhập tịch
naturally	một cách tự nhiên
nature	Thiên nhiên
nausea	buồn nôn
nautical	hải lý
naval	hải quân
nave	gian giữa
navel	lỗ rốn
navigable	điều hướng được
navigate	điều hướng
navigation	dẫn đường
navigational	điều hướng
navigator	hoa tiêu
navy	Hải quân
nay	nay
Nazi	Phát xít
Neanderthal	Neanderthal
near	gần
nearby	gần đây
near-death	gần chết
near-earth	gần trái đất
nearest	gần nhất
near-infrared	gần Hồng ngoại
nearly	Gần
near-term	ngắn hạn
neat	gọn gàng
neatly	gọn gàng
nebula	tinh vân
nebulosity	sương mù
nebulous	âm u
necessarily	nhất thiết
necessary	cần thiết
necessitate	cần thiết
necessity	sự cần thiết
neck	cổ
necklace	chuỗi hạt
necrosis	hoại tử
nectar	mật hoa
need	nhu cầu
needed	cần thiết
needle	cây kim
needless	không cần
needlessly	không cần thiết
needy	túng thiếu
nefarious	bất chính
negate	phủ định
negation	sự phủ định
negative	phủ định
negatively	tiêu cực
negativity	tiêu cực
neglect	bỏ bê
neglected	bị bỏ quên
neglectful	bỏ bê
negligence	thiếu trách nhiệm
negligent	không lo
negligible	không đáng kể
negotiable	có thể thương lượng
negotiate	đàm phán
negotiated	thương lượng
negotiating	thương lượng
negotiation	đàm phán
negotiator	người thương thuyết
neighbor	láng giềng
neighborhood	khu vực lân cận
neighboring	láng giềng
neither	không
nematode	giun tròn
nemesis	kẻ thù
neoclassical	Tân cổ điển
neoconservative	tân sinh
neoliberal	tân tự do
neoliberalism	chủ nghĩa tân tự do
Neolithic	Đồ đá mới
neon	đèn neon
neonatal	sơ sinh
neophyte	tân sinh
neoplasm	ung thư
Nepalese	Người Nepal
nephew	cháu trai
nerd	mọt sách
nerve	thần kinh
nervous	lo lắng
nervously	lo lắng
nervousness	lo lắng
nest	tổ
nested	lồng vào nhau
nesting	làm tổ
nestle	nép mình
net	mạng lưới
netting	đánh lưới
nettle	cây tầm ma
network	mạng
networked	nối mạng
networking	mạng lưới
neural	thần kinh
neurologic	thần kinh học
neurological	thần kinh
neurologist	nhà thần kinh học
neurology	thần kinh học
neuroma	u thần kinh
neuromuscular	thần kinh cơ
neuron	tế bào thần kinh
neuronal	tế bào thần kinh
neuropathy	bệnh thần kinh
neuropsychological	tâm thần kinh
neuroscience	khoa học thần kinh
neuroscientist	nhà thần kinh học
neurosis	loạn thần kinh
neurotic	loạn thần kinh
neuroticism	loạn thần kinh
neurotransmitter	dẫn truyền thần kinh
neutral	Trung lập
neutrality	tính trung lập
neutralization	sự trung hòa
neutralize	vô hiệu hóa
neutrino	neutrino
neutron	nơtron
neutrophil	bạch cầu trung tính
never	không bao giờ
never-ending	không bao giờ kết thúc
nevertheless	Tuy nhiên
new	Mới
newborn	trẻ sơ sinh
newcomer	người mới
newfound	mới tìm thấy
newly	mới
newness	sự mới mẻ
news	Tin tức
newsgroup	nhóm tin tức
newsletter	bản tin
newspaper	báo chí
Newtonian	Newton
next	Kế tiếp
next-generation	thế hệ kế tiếp
nexus	mối quan hệ
niacin	niacin
nibble	gặm nhấm
Nicaraguan	Nicaraguan
nice	đẹp
nicely	độc đáo
niche	thích hợp
nickel	niken
nickname	tên nick
nicotine	nicotin
niece	cháu gái
nifty	tiện lợi
Nigerian	Người Nigeria
night	đêm
nightclub	câu lạc bộ đêm
nightfall	màn đêm buông xuống
nightly	hàng đêm
nightmare	cơn ác mộng
nighttime	ban đêm
nihilism	chủ nghĩa hư vô
nimble	nhanh nhẹn
nine	chín
nineteen	mười chín
nineteenth	thứ mười chín
nineteenth-century	thế kỷ XIX
ninety	chín mươi
ninety-five	chín mươi lăm
ninth	thứ chín
nipple	núm vú
nitrate	nitrat
nitric	nitric
nitrification	nitrat hóa
nitrite	nitrit
nitrogen	nitơ
nitrous	có nitơ
no	không
nobility	quý tộc
noble	cao quý
nobleman	nhà quý tộc
nobody	không ai
nocturnal	về đêm
nod	gật đầu
nodal	nốt sần
node	nút
nodule	nốt sần
no-fault	không có lỗi
noise	tiếng ồn
noisy	ồn ào
no-load	không tải
nomad	người du mục
nomadic	dân du mục
nomenclature	danh pháp
nominal	trên danh nghĩa
nominally	trên danh nghĩa
nominate	đề cử
nomination	sự đề cử
nominee	người được đề cử
non-academic	phi học thuật
non-aligned	không việc sắp xếp
nonathlete	nonathlete
non-Christian	không theo đạo thiên chúa
non-clinical	phi lâm sàng
noncommercial	Phi thương mại
non-competitive	không có tính tranh đua
noncompliance	không tuân thủ
noncompliant	không tuân thủ
non-democratic	phi dân chủ
nondescript	nondescript
non-destructive	không phá hủy
nondisabled	không bị cản trở
none	không ai
non-economic	phi kinh tế
nonetheless	dù sao thì
non-european	phi châu âu
nonexistent	không tồn tại
non-fatal	không gây tử vong
nonfiction	hư cấu
non-financial	phi tài chính
nonformal	không chính quy
non-gifted	không có năng khiếu
nongovernmental	phi chính phủ
non-hispanic	không phải tiếng Tây Ban Nha
non-Indian	không phải người Ấn Độ
non-indigenous	không phải người bản địa
non-intervention	không can thiệp
noninvasive	không xâm lấn
non-Jewish	không phải người Do Thái
nonlinear	phi tuyến tính
nonlinearity	phi tuyến tính
non-local	phi địa phương
nonmedical	phi y học
nonmember	không phải thành viên
non-military	phi quân sự
non-Muslim	không theo đạo Hồi
non-native	không tự nhiên
non-nuclear	phi hạt nhân
non-parametric	phi tham số
nonpartisan	không đảng phái
non-physical	phi vật chất
non-political	phi chính trị
non-professional	không chuyên nghiệp
nonprofit	tổ chức phi lợi nhuận
nonproliferation	không phổ biến
non-public	không công khai
non-religious	phi tôn giáo
nonrenewable	không tái tạo được
nonrespondent	không trả lời
nonsense	vô lý
nonsensical	vô nghĩa
nonsignificant	không đáng kể
non-social	phi xã hội
non-specific	không cụ thể
non-state	phi bang
nonstick	không dính
nonstop	không ngừng
nontoxic	không độc hại
nontraditional	phi truyền thống
nonverbal	phi ngôn ngữ
nonviolence	bất bạo động
nonviolent	bất bạo động
non-western	phi phương tây
non-white	không trắng
noodle	bún
nook	ngóc ngách
noon	không bật
nor	cũng không
Nordic	Bắc âu
norm	định mức
normal	thông thường
normalcy	bình thường
normality	bình thường
normalization	bình thường hóa
normalize	bình thường hóa
normalized	bình thường hóa
normally	thông thường
Norman	Norman
normative	quy phạm
norm-referenced	quy chiếu
Norse	Norse
north	phia Băc
northeast	đông bắc
northeastern	đông bắc
northern	Phương bắc
northerner	người phương bắc
northernmost	cực bắc
northward	về phía bắc
northwest	Tây Bắc
northwestern	tây bắc
Norwegian	Nauy
nose	mũi
nostalgia	Hoài cổ
nostalgic	Hoài niệm
nostril	lỗ mũi
not	không phải
notable	đáng chú ý
notably	đáng chú ý
notate	ký hiệu
notation	ký hiệu
notch	khía
note	Ghi chú
notebook	sổ tay
noted	lưu ý
noteworthy	đáng chú ý
not-for-profit	phi lợi nhuận
nothing	không có gì
nothingness	hư vô
notice	lưu ý
noticeable	đáng chú ý
noticeably	đáng chú ý
notification	thông báo
notify	thông báo
notion	khái niệm
notoriety	tai tiếng
notorious	khét tiếng
notoriously	khét tiếng
notwithstanding	bất chấp
noun	danh từ
nourish	nuôi
nourishment	sự nuôi dưỡng
novel	cuốn tiểu thuyết
novelist	tiểu thuyết gia
novelistic	tiểu thuyết
novella	tiểu thuyết
novelty	mới lạ
novice	người mới
now	hiện nay
nowadays	ngày nay
nowhere	hư không
noxious	độc hại
nozzle	vòi phun
n't	không
nuance	sắc thái
nuanced	sắc thái
nuclear	Nguyên tử
nuclear-armed	vũ trang hạt nhân
nucleon	nucleon
nucleotide	nucleotide
nucleus	nhân tế bào
nude	khỏa thân
nudge	huých
nuisance	phiền toái
null	vô giá trị
nullify	vô hiệu hóa
numb	tê
number	con số
numbered	đánh số
number-one	số một
numbness	tê tái
numeral	chữ số
numeric	số
numerical	số
numerically	về mặt số
numerous	nhiều
nun	ni cô
nurse	y tá
nursery	nhà trẻ
nursing	điều dưỡng
nurturance	sự nuôi dưỡng
nurture	dưỡng dục
nurturing	nuôi dưỡng
nut	hạt
nutrient	chất dinh dưỡng
nutrition	dinh dưỡng
nutritional	dinh dưỡng
nutritionist	chuyên gia dinh dưỡng
nutritious	bổ dưỡng
nutshell	tóm lại
nylon	nylon
nystagmus	rung giật nhãn cầu
oak	cây sồi
oasis	ốc đảo
oath	tuyên thệ
oatmeal	cháo bột yến mạch
oats	Yến mạch
obedience	sự vâng lời
obedient	nghe lời
obelisk	obelisk
obese	Béo phì
obesity	béo phì
obey	tuân theo
obituary	cáo phó
object	sự vật
objectification	sự khách quan hóa
objectify	đối tượng hóa
objection	sự phản đối
objectionable	phản đối
objective	mục tiêu
objectively	khách quan
objectivity	tính khách quan
object-oriented	hướng đối tượng
obligate	bắt buộc
obligation	nghĩa vụ
obligatory	bắt buộc
oblige	bắt buộc
oblique	xiên
obliquely	gián tiếp
obliterate	bôi
obliteration	sự xóa sổ
oblivion	lãng quên
oblivious	quên
obnoxious	khó ưa
obscene	tục tĩu
obscenity	tục tĩu
obscure	mờ mịt
obscurity	che khuất
observable	có thể quan sát được
observance	sự tuân thủ
observant	tinh ý
